year,state_name,Value,commodity,avg_temp_f,total_precip_inches,drought_severity_index,drought_category,yield_anomaly,yield_yoy_change,temp_stress,precip_anomaly,drought_risk_score,yield_volatility,yield_decline,yield_volatility_score,yield_decline_score,yield_risk,temp_stress_score,precip_risk,precip_risk_score,weather_risk,drought_high,drought_persistence,drought_persistence_score,drought_risk,SRI,risk_level
2010,ALABAMA,115.0,CORN,68.5,23.6,128.0,Low,-4.9131816005918365,0.0,1.5,-9.83004201373131,25.6,,0.0,,0.0,,11.718750000000004,9.83004201373131,9.775436576811146,10.747093288405575,0,0.0,0.0,17.919999999999998,,Very High
2010,ALABAMA,120.0,CORN,68.5,23.6,128.0,Low,-0.7789721049653949,4.347826086956519,1.5,-9.83004201373131,25.6,3.5355339059327378,0.0,3.031546711365319,0.0,1.5157733556826596,11.718750000000004,9.83004201373131,9.775436576811146,10.747093288405575,0,0.0,0.0,17.919999999999998,9.206437328794735,Low
2010,ALABAMA,120.0,CORN,68.5,23.6,128.0,Low,-0.7789721049653949,0.0,1.5,-9.83004201373131,25.6,2.88675134594813,0.0,2.4752475247524757,0.0,1.2376237623762378,11.718750000000004,9.83004201373131,9.775436576811146,10.747093288405575,0,0.0,0.0,17.919999999999998,9.095177491472167,Low
2010,ALABAMA,120.0,CORN,68.5,23.6,128.0,Low,-0.7789721049653949,0.0,1.5,-9.83004201373131,25.6,0.0,0.0,0.0,0.0,0.0,11.718750000000004,9.83004201373131,9.775436576811146,10.747093288405575,0,0.0,0.0,17.919999999999998,8.600127986521672,Low
2010,ALABAMA,15.0,CORN,68.5,23.6,128.0,Low,-87.59737151312066,-87.5,1.5,-9.83004201373131,25.6,60.6217782649107,87.5,51.98019801980197,91.14583333333334,71.56301567656766,11.718750000000004,9.83004201373131,9.775436576811146,10.747093288405575,0,0.0,0.0,17.919999999999998,37.22533425714874,Moderate
2011,ALABAMA,114.0,CORN,63.4,22.3,106.0,Low,-5.740023499717125,660.0,6.600000000000001,-14.797031224839335,21.2,58.966091951222275,0.0,50.56052830856198,0.0,25.28026415428099,51.56250000000003,14.797031224839335,14.74543371452918,33.15396685726461,0,0.0,0.0,14.839999999999998,24.510295718891776,Low
2011,ALABAMA,100.0,CORN,63.4,22.3,106.0,Low,-17.315810087471164,-12.28070175438597,6.600000000000001,-14.797031224839335,21.2,53.575491909392056,12.28070175438597,45.93835347899126,12.792397660818718,29.36537556990499,51.56250000000003,14.797031224839335,14.74543371452918,33.15396685726461,0,0.0,0.0,14.839999999999998,26.144340285141375,Moderate
2011,ALABAMA,107.0,CORN,63.4,22.3,106.0,Low,-11.527916793594144,7.000000000000006,6.600000000000001,-14.797031224839335,21.2,7.000000000000027,0.0,6.002156263852567,0.0,3.0010781319262834,51.56250000000003,14.797031224839335,14.74543371452918,33.15396685726461,0,0.0,0.0,14.839999999999998,15.598621309949895,Low
2011,ALABAMA,107.0,CORN,63.4,22.3,106.0,Low,-11.527916793594144,0.0,6.600000000000001,-14.797031224839335,21.2,4.041451884327425,0.0,3.465346534653503,0.0,1.7326732673267515,51.56250000000003,14.797031224839335,14.74543371452918,33.15396685726461,0,0.0,0.0,14.839999999999998,15.09125936411008,Low
2011,ALABAMA,105.0,CORN,63.4,22.3,106.0,Low,-13.18160059184472,-1.869158878504673,6.600000000000001,-14.797031224839335,21.2,1.1547005383793987,1.869158878504673,0.9900990099011161,1.947040498442368,1.468569754171742,51.56250000000003,14.797031224839335,14.74543371452918,33.15396685726461,0,0.0,0.0,14.839999999999998,14.985617958848078,Low
2011,ALABAMA,9.0,CORN,63.4,22.3,106.0,Low,-92.5584229078724,-91.42857142857144,6.600000000000001,-14.797031224839335,21.2,56.01190349678658,91.42857142857144,48.02745677479169,95.23809523809526,71.63277600644346,51.56250000000003,14.797031224839335,14.74543371452918,33.15396685726461,0,0.0,0.0,14.839999999999998,43.05130045975677,Moderate
2012,ALABAMA,176.6,CORN,72.3,34.4,170.0,Low,46.02027938552592,1862.222222222222,2.299999999999997,31.434176047781463,34.0,84.0955012669128,0.0,72.10776281300289,0.0,36.053881406501446,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,28.965763120229354,Moderate
2012,ALABAMA,83.2,CORN,72.3,34.4,170.0,Low,-31.206753992776004,-52.88788221970555,2.299999999999997,31.434176047781463,34.0,83.98309353673511,52.88788221970555,72.01137870417554,55.09154397885995,63.55146134151775,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,39.964795094235875,Moderate
2012,ALABAMA,12.2,CORN,72.3,34.4,170.0,Low,-89.91252883067148,-85.33653846153845,2.299999999999997,31.434176047781463,34.0,82.4539467420046,85.33653846153845,70.70021041669814,88.89222756410255,79.79621899040035,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,46.462698153788914,Moderate
2012,ALABAMA,109.5,CORN,72.3,34.4,170.0,Low,-9.460812045780925,797.5409836065575,2.299999999999997,31.434176047781463,34.0,50.33219645515184,0.0,43.1573868895352,0.0,21.5786934447676,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,23.175687935535812,Low
2012,ALABAMA,98.0,CORN,72.3,34.4,170.0,Low,-18.96949388572174,-10.502283105022835,2.299999999999997,31.434176047781463,34.0,53.16825493970375,10.502283105022835,45.58916777492169,10.939878234398787,28.26452300466024,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,25.850019759492866,Moderate
2012,ALABAMA,85.0,CORN,72.3,34.4,170.0,Low,-29.71843857435049,-13.265306122448983,2.299999999999997,31.434176047781463,34.0,12.257650672131229,13.265306122448983,10.510333537406972,13.818027210884358,12.164180374145666,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,19.40988270728704,Low
2012,ALABAMA,105.0,CORN,72.3,34.4,170.0,Low,-13.18160059184472,23.529411764705888,2.299999999999997,31.434176047781463,34.0,10.148891565092178,0.0,8.70217615408261,0.0,4.351088077041305,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,16.284645788445296,Low
2012,ALABAMA,100.0,CORN,72.3,34.4,170.0,Low,-17.315810087471164,-4.761904761904767,2.299999999999997,31.434176047781463,34.0,10.408329997330622,4.761904761904767,8.924631869960333,4.960317460317466,6.942474665138899,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,17.32120042368433,Low
2012,ALABAMA,100.0,CORN,72.3,34.4,170.0,Low,-17.315810087471164,0.0,2.299999999999997,31.434176047781463,34.0,2.886751345947972,0.0,2.4752475247523402,0.0,1.2376237623761701,17.968749999999982,31.434176047781463,31.392653717525164,24.680701858762575,0,0.0,0.0,23.799999999999997,15.039260062579238,Low
