year,state_name,Value,commodity
2010,ALABAMA,115.0,CORN
2010,ALABAMA,115.0,CORN
2010,ALABAMA,120.0,CORN
2010,ALABAMA,120.0,CORN
2010,ALABAMA,120.0,CORN
2010,ALABAMA,15.0,CORN
2010,ARIZONA,210.0,CORN
2010,ARIZONA,26.0,CORN
2010,ARKANSAS,150.0,CORN
2010,ARKANSAS,157.0,CORN
2010,ARKANSAS,150.0,CORN
2010,ARKANSAS,150.0,CORN
2010,ARKANSAS,152.0,CORN
2010,ARKANSAS,21.0,CORN
2010,CALIFORNIA,192.0,CORN
2010,CALIFORNIA,195.0,CORN
2010,CALIFORNIA,195.0,CORN
2010,CALIFORNIA,195.0,CORN
2010,CALIFORNIA,195.0,CORN
2010,CALIFORNIA,26.5,CORN
2010,COLORADO,151.0,CORN
2010,COLORADO,140.0,CORN
2010,COLORADO,144.0,CORN
2010,COLORADO,144.0,CORN
2010,COLORADO,144.0,CORN
2010,COLORADO,24.5,CORN
2010,COLORADO,200.0,CORN
2010,COLORADO,73.9,CORN
2010,CONNECTICUT,20.5,CORN
2010,DELAWARE,114.0,CORN
2010,DELAWARE,115.0,CORN
2010,DELAWARE,120.0,CORN
2010,DELAWARE,120.0,CORN
2010,DELAWARE,115.0,CORN
2010,DELAWARE,14.0,CORN
2010,FLORIDA,109.0,CORN
2010,FLORIDA,15.0,CORN
2010,GEORGIA,146.0,CORN
2010,GEORGIA,138.0,CORN
2010,GEORGIA,140.0,CORN
2010,GEORGIA,140.0,CORN
2010,GEORGIA,142.0,CORN
2010,GEORGIA,16.0,CORN
2010,IDAHO,190.0,CORN
2010,IDAHO,25.0,CORN
2010,ILLINOIS,157.0,CORN
2010,ILLINOIS,180.0,CORN
2010,ILLINOIS,159.0,CORN
2010,ILLINOIS,160.0,CORN
2010,ILLINOIS,174.0,CORN
2010,ILLINOIS,18.0,CORN
2010,INDIANA,157.0,CORN
2010,INDIANA,176.0,CORN
2010,INDIANA,160.0,CORN
2010,INDIANA,160.0,CORN
2010,INDIANA,170.0,CORN
2010,INDIANA,21.0,CORN
2010,IOWA,165.0,CORN
2010,IOWA,179.0,CORN
2010,IOWA,167.0,CORN
2010,IOWA,169.0,CORN
2010,IOWA,179.0,CORN
2010,IOWA,21.5,CORN
2010,KANSAS,124.0,CORN
2010,KANSAS,143.0,CORN
2010,KANSAS,129.0,CORN
2010,KANSAS,130.0,CORN
2010,KANSAS,138.0,CORN
2010,KANSAS,14.0,CORN
2010,KANSAS,186.5,CORN
2010,KANSAS,91.2,CORN
2010,KENTUCKY,124.0,CORN
2010,KENTUCKY,138.0,CORN
2010,KENTUCKY,128.0,CORN
2010,KENTUCKY,128.0,CORN
2010,KENTUCKY,135.0,CORN
2010,KENTUCKY,18.5,CORN
2010,LOUISIANA,140.0,CORN
2010,LOUISIANA,150.0,CORN
2010,LOUISIANA,150.0,CORN
2010,LOUISIANA,150.0,CORN
2010,LOUISIANA,150.0,CORN
2010,LOUISIANA,16.0,CORN
2010,MAINE,18.0,CORN
2010,MARYLAND,106.0,CORN
2010,MARYLAND,100.0,CORN
2010,MARYLAND,100.0,CORN
2010,MARYLAND,95.0,CORN
2010,MARYLAND,100.0,CORN
2010,MARYLAND,13.0,CORN
2010,MASSACHUSETTS,20.0,CORN
2010,MICHIGAN,149.0,CORN
2010,MICHIGAN,156.0,CORN
2010,MICHIGAN,156.0,CORN
2010,MICHIGAN,156.0,CORN
2010,MICHIGAN,154.0,CORN
2010,MICHIGAN,18.5,CORN
2010,MINNESOTA,177.0,CORN
2010,MINNESOTA,178.0,CORN
2010,MINNESOTA,175.0,CORN
2010,MINNESOTA,175.0,CORN
2010,MINNESOTA,177.0,CORN
2010,MINNESOTA,20.0,CORN
2010,MISSISSIPPI,136.0,CORN
2010,MISSISSIPPI,140.0,CORN
2010,MISSISSIPPI,134.0,CORN
2010,MISSISSIPPI,134.0,CORN
2010,MISSISSIPPI,134.0,CORN
2010,MISSISSIPPI,16.0,CORN
2010,MISSOURI,123.0,CORN
2010,MISSOURI,150.0,CORN
2010,MISSOURI,127.0,CORN
2010,MISSOURI,134.0,CORN
2010,MISSOURI,143.0,CORN
2010,MISSOURI,15.0,CORN
2010,MONTANA,135.0,CORN
2010,MONTANA,24.0,CORN
2010,NEBRASKA,166.0,CORN
2010,NEBRASKA,180.0,CORN
2010,NEBRASKA,166.0,CORN
2010,NEBRASKA,170.0,CORN
2010,NEBRASKA,179.0,CORN
2010,NEBRASKA,18.5,CORN
2010,NEBRASKA,185.6,CORN
2010,NEBRASKA,137.5,CORN
2010,NEVADA,25.0,CORN
2010,NEW HAMPSHIRE,20.5,CORN
2010,NEW JERSEY,114.0,CORN
2010,NEW JERSEY,123.0,CORN
2010,NEW JERSEY,118.0,CORN
2010,NEW JERSEY,122.0,CORN
2010,NEW JERSEY,118.0,CORN
2010,NEW JERSEY,15.5,CORN
2010,NEW MEXICO,180.0,CORN
2010,NEW MEXICO,27.0,CORN
2010,NEW YORK,149.0,CORN
2010,NEW YORK,142.0,CORN
2010,NEW YORK,150.0,CORN
2010,NEW YORK,148.0,CORN
2010,NEW YORK,144.0,CORN
2010,NEW YORK,19.0,CORN
2010,NORTH CAROLINA,91.0,CORN
2010,NORTH CAROLINA,90.0,CORN
2010,NORTH CAROLINA,90.0,CORN
2010,NORTH CAROLINA,90.0,CORN
2010,NORTH CAROLINA,90.0,CORN
2010,NORTH CAROLINA,13.0,CORN
2010,NORTH DAKOTA,132.0,CORN
2010,NORTH DAKOTA,140.0,CORN
2010,NORTH DAKOTA,137.0,CORN
2010,NORTH DAKOTA,140.0,CORN
2010,NORTH DAKOTA,140.0,CORN
2010,NORTH DAKOTA,14.0,CORN
2010,OHIO,160.0,CORN
2010,OHIO,176.0,CORN
2010,OHIO,165.0,CORN
2010,OHIO,167.0,CORN
2010,OHIO,173.0,CORN
2010,OHIO,17.0,CORN
2010,OKLAHOMA,128.0,CORN
2010,OKLAHOMA,135.0,CORN
2010,OKLAHOMA,130.0,CORN
2010,OKLAHOMA,130.0,CORN
2010,OKLAHOMA,135.0,CORN
2010,OKLAHOMA,16.0,CORN
2010,OREGON,200.0,CORN
2010,OREGON,27.0,CORN
2010,OTHER STATES,161.1,CORN
2010,OTHER STATES,160.7,CORN
2010,OTHER STATES,160.7,CORN
2010,OTHER STATES,161.1,CORN
2010,PENNSYLVANIA,128.0,CORN
2010,PENNSYLVANIA,132.0,CORN
2010,PENNSYLVANIA,128.0,CORN
2010,PENNSYLVANIA,128.0,CORN
2010,PENNSYLVANIA,128.0,CORN
2010,PENNSYLVANIA,18.0,CORN
2010,RHODE ISLAND,21.0,CORN
2010,SOUTH CAROLINA,84.0,CORN
2010,SOUTH CAROLINA,97.0,CORN
2010,SOUTH CAROLINA,92.0,CORN
2010,SOUTH CAROLINA,91.0,CORN
2010,SOUTH CAROLINA,99.0,CORN
2010,SOUTH CAROLINA,16.0,CORN
2010,SOUTH DAKOTA,135.0,CORN
2010,SOUTH DAKOTA,148.0,CORN
2010,SOUTH DAKOTA,140.0,CORN
2010,SOUTH DAKOTA,145.0,CORN
2010,SOUTH DAKOTA,145.0,CORN
2010,SOUTH DAKOTA,13.5,CORN
2010,TENNESSEE,117.0,CORN
2010,TENNESSEE,125.0,CORN
2010,TENNESSEE,115.0,CORN
2010,TENNESSEE,117.0,CORN
2010,TENNESSEE,122.0,CORN
2010,TENNESSEE,16.0,CORN
