year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,IDAHO - SUMMARY,ALL,14.503878445910736,Avg: 14.5,,,,,,
2025,IDAHO,WHEAT,19.786776133089685,Low,79.0,Normal inventory,38.6765032373991,4.0,0.0,35.0
2025,IDAHO,WHEAT,18.17786781217453,Low,84.0,Normal inventory,34.07962232049864,4.0,0.0,35.0
2025,IDAHO,WHEAT,18.17786781217453,Low,84.0,Normal inventory,34.07962232049864,4.0,0.0,35.0
2025,IDAHO,WHEAT,15.120942002435717,Low,93.5,Normal inventory,25.345548578387763,4.0,0.0,35.0
2025,IDAHO,WHEAT,13.994706177795104,Low,97.0,Normal inventory,22.12773193655744,4.0,0.0,35.0
2025,IDAHO,WHEAT,13.994706177795104,Low,97.0,Normal inventory,22.12773193655744,4.0,0.0,35.0
2025,IDAHO,WHEAT,13.994706177795104,Low,97.0,Normal inventory,22.12773193655744,4.0,0.0,35.0
2025,IDAHO,WHEAT,13.994706177795104,Low,97.0,Normal inventory,22.12773193655744,4.0,0.0,35.0
2025,IDAHO,WHEAT,13.35114284942904,Low,99.0,Normal inventory,20.288979569797256,4.0,0.0,35.0
2025,IDAHO,CORN,12.45049606233514,Low,222.0,Normal inventory,17.71570303524326,4.0,0.0,35.0
2025,IDAHO,CORN,10.501311984054906,Low,230.0,Normal inventory,12.146605668728306,4.0,0.0,35.0
2025,IDAHO,CORN,10.501311984054906,Low,230.0,Normal inventory,12.146605668728306,4.0,0.0,35.0
