year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,ARKANSAS - SUMMARY,ALL,23.2562707336611,Avg: 23.3,,,,,,
2025,ARKANSAS,WHEAT,26.865972745116395,Moderate,57.0,"Monitor closely, consider +5% stockpile",58.90277927176113,4.0,0.0,35.0
2025,ARKANSAS,WHEAT,26.865972745116395,Moderate,57.0,"Monitor closely, consider +5% stockpile",58.90277927176113,4.0,0.0,35.0
2025,ARKANSAS,WHEAT,26.544191080933363,Moderate,58.0,"Monitor closely, consider +5% stockpile",57.98340308838104,4.0,0.0,35.0
2025,ARKANSAS,WHEAT,25.578846088384264,Moderate,61.0,"Monitor closely, consider +5% stockpile",55.22527453824076,4.0,0.0,35.0
2025,ARKANSAS,WHEAT,25.25706442420124,Moderate,62.0,"Monitor closely, consider +5% stockpile",54.30589835486067,4.0,0.0,35.0
2025,ARKANSAS,WHEAT,25.25706442420124,Moderate,62.0,"Monitor closely, consider +5% stockpile",54.30589835486067,4.0,0.0,35.0
2025,ARKANSAS,CORN,23.171008492876435,Low,178.0,Normal inventory,48.345738551075534,4.0,0.0,35.0
2025,ARKANSAS,CORN,23.171008492876435,Low,178.0,Normal inventory,48.345738551075534,4.0,0.0,35.0
2025,ARKANSAS,CORN,22.19641645373632,Low,182.0,Normal inventory,45.56118986781805,4.0,0.0,35.0
2025,ARKANSAS,SOYBEANS,18.05590128549704,Low,56.0,Normal inventory,33.73114652999153,4.0,0.0,35.0
2025,ARKANSAS,SOYBEANS,18.05590128549704,Low,56.0,Normal inventory,33.73114652999153,4.0,0.0,35.0
2025,ARKANSAS,SOYBEANS,18.05590128549704,Low,56.0,Normal inventory,33.73114652999153,4.0,0.0,35.0
